id,专业类别,亚专科,疾病/场景,中文名称,英文名称,输入,输出,量表/方程,评分解读,用途,来源类型,来源/指南,来源链接,获取渠道,真实性层级,常用程度,覆盖说明,临床使用说明,版本/年份,条目来源,来源分组,备注
CALC-0248,儿科学,,阴离子间隙,阴离子间隙,Anion Gap,"Na,CI,HCO3",阴离子间隙,阴离子间隙(AG) = Na - (Cl + HCO3),输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0249,儿科学,,PELD评分,PELD评分,Pediatric End-stage Liver Disease Score,年龄、白蛋白、胆红素、INR、生长失败,儿童肝病严重度/移植优先级,PELD公式,分值越高，短期死亡风险越高,公式计算/生理指标,网络补充,OPTN MELD calculator,https://optn.transplant.hrsa.gov/data/allocation-calculators/meld-calculator/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v1网络补充,,[OPTN MELD calculator](https://optn.transplant.hrsa.gov/data/allocation-calculators/meld-calculator/)
CALC-0250,儿科学,,PEWS儿童早期预警评分,PEWS儿童早期预警评分,Pediatric Early Warning Score,behavior; cardiovascular; respiratory; quarter_hourly_nebulizers; persistent_postoperative_vomiting,PEWS总分和风险提示,行为、心血管、呼吸三域0-3分加总，并按频繁雾化或持续术后呕吐加分。,分数越高提示儿童临床恶化风险越高，应按机构升级流程复评。,风险预测/预后评估,临床预警评分/医学计算器平台,Pediatric Early Warning Score (PEWS) / MDCalc,https://www.mdcalc.com/calc/3901/pediatric-early-warning-score-pews,外部来源公式级核对并接入Python实现,A：官方/专业协会或原始评分体系来源,中高：临床常见或教学/决策支持常用,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,v1网络补充,,Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0251,儿科学,,PRAM儿童哮喘严重度,PRAM儿童哮喘严重度,Pediatric Respiratory Assessment Measure,suprasternal_retractions(0/2); scalene_muscle_contraction(0/2); air_entry(0-3); wheezing(0-3); oxygen_saturation(0-2),PRAM总分 0-12,PRAM = 胸骨上凹陷0/2 + 斜角肌收缩0/2 + 进气量0-3 + 哮鸣音0-3 + 氧饱和度0-2。,0-3轻度；4-7中度；8-12重度儿童哮喘急性发作严重度。,临床评分/决策支持,医学计算器平台/原始儿科评分,PRAM Pediatric Respiratory Assessment Measure,https://www.mdcalc.com/calc/10195/pram-pediatric-respiratory-assessment-measure-asthma-exacerbation-severity,医学计算器平台与儿科哮喘评分文献核对,B：临床计算器平台收录并已核公式,中高：临床常见或教学/决策支持常用,已完成公式级外部来源核对并接入Python实现,用于临床决策支持、教学、筛查或质量评估；不能替代完整指南和临床判断,,外部来源验证,,Python实现使用预编码分项输入。
CALC-0252,儿科学,,Schwartz儿童eGFR,Schwartz儿童eGFR,Bedside Schwartz Equation,身高、血肌酐,儿童eGFR,eGFR=0.413*身高(cm)/Scr(mg/dL),用于儿童肾功能估算；肌酐稳态时更可靠,公式计算/生理指标,网络补充,National Kidney Foundation eGFR calculator,https://www.kidney.org/professionals/gfr_calculator,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v1网络补充,,[National Kidney Foundation eGFR calculator](https://www.kidney.org/professionals/gfr_calculator)
CALC-0253,儿科学,,Westley哮吼评分,Westley哮吼评分,Westley Croup Score,意识、发绀、喘鸣、空气进入、三凹征,哮吼严重度,条目加权总分,轻、中、重、 impending respiratory failure分层,临床评分/决策支持,网络补充,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v1网络补充,,[MDCalc calculator library](https://www.mdcalc.com/)
CALC-0254,儿科学,,儿童GCS,儿童GCS,Pediatric Glasgow Coma Scale,睁眼、语言/儿童语言、运动反应,意识评分,E+V+M,3-15分，分数越低意识障碍越重,临床评分/决策支持,网络补充,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v1网络补充,,[MDCalc calculator library](https://www.mdcalc.com/)
CALC-0255,儿科学,,儿童阑尾炎评分,儿童阑尾炎评分,Pediatric Appendicitis Score,咳跳痛、厌食、发热、恶心呕吐、RLQ压痛、白细胞、中性粒、迁移痛,阑尾炎可能性,8项总分0-10,低、中、高风险分层,临床评分/决策支持,网络补充,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v1网络补充,,[MDCalc calculator library](https://www.mdcalc.com/)
CALC-0256,儿科学,,新生儿早发败血症风险,新生儿早发败血症风险,Neonatal Early-Onset Sepsis Calculator,胎龄、最高母温、GBS状态、破膜时间、产时抗生素、临床表现,EOS风险/管理建议,多变量风险模型,用于>=34周新生儿风险评估辅助,风险预测/预后评估,网络补充,Calculate by QxMD,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v1网络补充,,[Calculate by QxMD](https://qxmd.com/calculate/)
CALC-0257,妇产科学,,MDRD公式估算肾小球滤过率,MDRD公式估算肾小球滤过率,MDRD Estimated Glomerular Filtration Rate,"血清肌酐,年龄,性别,种族,血尿素氮,白蛋白",肾小球滤过率,肾小球滤过率 = 170 * 血清肌酐^-0.999 * 年龄^-0.176 * 性别 * 种族 * 血尿素氮^-0.170 * 白蛋白^0.318,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,公式计算/生理指标,官方指南/专业协会,National Kidney Foundation eGFR calculator,https://www.kidney.org/professionals/gfr_calculator,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,外部来源验证,,
CALC-0258,妇产科学,,体质指数（凯特勒指数）,体质指数（凯特勒指数）,Body Mass Index,"身高,体重",身体质量指数,身体质量指数(BMI) = (体重/2.205) / (身高/39.37)^2,"身体质量指数(BMI) < 18.5: 低于正常体重
身体质量指数(BMI) >= 18.5 以及 < 25: 正常体重
身体质量指数(BMI) >= 25 以及 < 30:	超重
身体质量指数(BMI) >= 30 以及 < 35:	一类肥胖
身体质量指数(BMI) >= 35 以及 < 40: 二类肥胖
身体质量指数(BMI) >= 40: 三类肥胖",公式计算/生理指标,官方指南/专业协会,CDC BMI calculators,https://www.cdc.gov/bmi/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,外部来源验证,,
CALC-0259,妇产科学,,肌酐清除率（测定）,肌酐清除率（测定）,Measured Creatinine Clearance,"尿肌酐浓度,血肌酐浓度,每日尿量",肌酐清除率,肌酐清除率 = 尿肌酐浓度 * 每日尿量 / 血肌酐浓度 / 1440,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,公式计算/生理指标,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0260,妇产科学,,Bishop宫颈评分,Bishop宫颈评分,Bishop Score,宫口扩张、宫颈管消退、胎先露高低、宫颈质地、宫颈位置,引产成功可能性/宫颈成熟度,5项评分加总,高分提示宫颈成熟、阴道分娩可能性较高,临床评分/决策支持,网络补充,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v1网络补充,,[MDCalc calculator library](https://www.mdcalc.com/)
CALC-0261,妇产科学,,MFMU剖宫产后阴道试产预测,MFMU剖宫产后阴道试产预测,MFMU VBAC Calculator,年龄、身高/体重或BMI、既往阴道分娩、既往VBAC、剖宫产指征、慢性高血压等,VBAC成功概率,MFMU预测模型,用于TOLAC咨询，需结合当地资源和禁忌证,临床评分/决策支持,网络补充,MFMU VBAC calculator,https://mfmunetwork.bsc.gwu.edu/web/mfmunetwork/vaginal-birth-after-cesarean-calculator,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v1网络补充,,[MFMU VBAC calculator](https://mfmunetwork.bsc.gwu.edu/web/mfmunetwork/vaginal-birth-after-cesarean-calculator)
CALC-0262,妇产科学,,PUQE妊娠恶心呕吐评分,PUQE妊娠恶心呕吐评分,Pregnancy-Unique Quantification of Emesis,恶心时长、呕吐次数、干呕次数,NVP/HG严重度,3题1-5分，总分3-15,3-6轻；7-12中；13-15重,临床评分/决策支持,网络补充,Calculate by QxMD,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v1网络补充,,[Calculate by QxMD](https://qxmd.com/calculate/)
CALC-0263,妇产科学,,产后出血量/休克指数,产后出血量/休克指数,Obstetric Shock Index,心率、收缩压；估计失血量,产科休克指数,HR/SBP,升高提示失血或循环不稳定风险,公式计算/生理指标,网络补充,Merck Manual clinical calculators,https://www.merckmanuals.com/professional/pages-with-widgets/clinical-calculators,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v1网络补充,,[Merck Manual clinical calculators](https://www.merckmanuals.com/professional/pages-with-widgets/clinical-calculators)
CALC-0264,妇产科学,,妊娠期糖尿病筛查解释,妊娠期糖尿病筛查解释,Gestational Diabetes Screening Interpretation,strategy; screen_one_hour_mg_dl; fasting_mg_dl; one_hour_mg_dl; two_hour_mg_dl; three_hour_mg_dl,妊娠期糖尿病筛查/诊断解释,支持一步法75g OGTT阈值和两步法50g筛查加100g OGTT阈值判定。,达到对应方案阈值提示筛查阳性或符合GDM诊断；需按本地方案确认。,诊断/分类辅助,指南阈值/机构共识,USPSTF Gestational Diabetes Screening / UW Medicine OB consensus,https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/gestational-diabetes-screening,外部来源公式级核对并接入Python实现,A：官方/专业协会或原始评分体系来源,中高：临床常见或教学/决策支持常用,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,v1网络补充,,Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0265,妇产科学,,胎儿生物物理评分,胎儿生物物理评分,Biophysical Profile,胎动、胎儿呼吸样运动、胎儿肌张力、羊水量、NST,胎儿状态评分,5项各0或2分，总分0-10,8-10通常 reassuring；低分需进一步评估,临床评分/决策支持,网络补充,Calculate by QxMD,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v1网络补充,,[Calculate by QxMD](https://qxmd.com/calculate/)
CALC-0266,妇产科学,,预产期与孕周计算,预产期与孕周计算,Estimated Due Date and Gestational Age,末次月经、受孕/IVF日期、超声孕周及日期,预产期、当前孕周,Naegele规则或按超声校正,用于孕期随访时间轴；以早孕超声最可靠,临床评分/决策支持,网络补充,ACOG due date guidance,https://www.acog.org/clinical/clinical-guidance/committee-opinion/articles/2017/05/methods-for-estimating-the-due-date,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v1网络补充,,[ACOG due date guidance](https://www.acog.org/clinical/clinical-guidance/committee-opinion/articles/2017/05/methods-for-estimating-the-due-date)
CALC-0267,神经、精神与老年医学,,EPWORTH睡眠量表（ESS）,EPWORTH睡眠量表（ESS）,Epworth Sleepiness Scale,量表条目；临床表现；体征或检查结果,EPWORTH睡眠量表（ESS）总分或风险分层,"同嗜睡相关情况分级：
坐着阅读时
不会打瞌睡 (0 分)
打瞌睡的可能性很小 (1 分)
打瞌睡的可能性中等 (2 分)
很大可能打瞌睡 (3 分)
看电视时
不会打瞌睡 (0 分)
打瞌睡的可能性很小 (1 分)
打瞌睡的可能性中等 (2 分)
很大可能打瞌睡 (3 分)
在公众场合安静坐着
不会打瞌睡 (0 分)
打瞌睡的可能性很小 (1 分)
打瞌睡的可能性中等 (2 分)
很大可能打瞌睡 (3 分)
坐车一小时
不会打瞌睡 (0 分)
打瞌睡的可能性很小 (1 分)
打瞌睡的可能性中等 (2 分)
很大可能打瞌睡 (3 分)
下午躺着休息时
不会打瞌睡 (0 分)
打瞌睡的可能性很小 (1 分)
打瞌睡的可能性中等 (2 分)
很大可能打瞌睡 (3 分)
坐着与人交谈时
不会打瞌睡 (0 分)
打瞌睡的可能性很小 (1 分)
打瞌睡的可能性中等 (2 分)
很大可能打瞌睡 (3 分)
午餐后安静坐着时（午餐不喝酒）
不会打瞌睡 (0 分)
打瞌睡的可能性很小 (1 分)
打瞌睡的可能性中等 (2 分)
很大可能打瞌睡 (3 分)
坐在车里，当车子由于交通问题停下来数分钟时
不会打瞌睡 (0 分)
打瞌睡的可能性很小 (1 分)
打瞌睡的可能性中等 (2 分)
很大可能打瞌睡 (3 分)","1 - 6 分数:	睡眠正常
7 - 8 分数:	一般性嗜睡
9 - 24 分数:	不正常（可能病理性的）嗜睡",症状/功能量表,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0268,神经、精神与老年医学,,GLASGOW昏迷评分,GLASGOW昏迷评分,Glasgow Coma Scale,量表条目；临床表现；体征或检查结果,GLASGOW昏迷评分总分或风险分层,"睁眼
自发 (4 分)
对口头命令 (3 分)
对疼痛 (2 分)
无 (1 分)
最佳活动反应
遵从口头命令 (6 分)
定位疼痛刺激 (5 分)
对疼痛刺激的弯曲收缩 (4 分)
对疼痛刺激的去皮质反应 (3 分)
对疼痛刺激的去大脑反应 (2 分)
无 (1 分)
最佳语言反应
交谈正常 (5 分)
交谈异常 (4 分)
用词不当 (3 分)
用词无法理解 (3 分)
声音无法理解 (2 分)
无 (1 分)","15 分数:	正常
3 - 14 分数:	异常",症状/功能量表,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0269,神经、精神与老年医学,,MDRD公式估算肾小球滤过率,MDRD公式估算肾小球滤过率,MDRD Estimated Glomerular Filtration Rate,"血清肌酐,年龄,性别,种族,血尿素氮,白蛋白",肾小球滤过率,肾小球滤过率 = 170 * 血清肌酐^-0.999 * 年龄^-0.176 * 性别 * 种族 * 血尿素氮^-0.170 * 白蛋白^0.318,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,公式计算/生理指标,官方指南/专业协会,National Kidney Foundation eGFR calculator,https://www.kidney.org/professionals/gfr_calculator,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,外部来源验证,,
CALC-0270,神经、精神与老年医学,,NIH 卒中评分,NIH 卒中评分,NIH Stroke Scale,量表条目；临床表现；体征或检查结果,NIH 卒中评分总分或风险分层,"意识水平
反应敏锐 (0 分)
不灵敏，最小刺激可唤醒 (1 分)
不灵敏，需要反复刺激 (2 分)
昏迷 (3 分)
患者知道月份和自己的年龄
回答都正确 (0 分)
正确回答一个 (1 分)
两个回答都不正确 (2 分)
患者按照指令睁眼闭眼
两个动作都完成正确 (0 分)
正确完成一个动作 (1 分)
两个都不能正确完成 (2 分)
凝视（仅测试水平眼球运动）
正常 (0 分)
部分凝视麻痹 (1 分)
被动偏差 (2 分)
视野检测
无视野缺失 (0 分)
部分偏盲 (1 分)
完全偏盲 (2 分)
双侧偏盲（全盲，包括皮质盲） (3 分)
面瘫（要求患者示齿、扬眉和闭眼）
正常对称动作 (0 分)
轻微瘫痪 (1 分)
部分瘫痪（下面部完全或几乎完全瘫痪） (2 分)
一侧或两侧完全瘫痪 (3 分)
右臂运动功能
正常 (0 分)
移动 (1 分)
能对抗一些重力 (2 分)
不能对抗重力 (3 分)
无运动 (4 分)
无法检测* (0 分)
右臂运动功能
正常 (0 分)
移动 (1 分)
能对抗一些重力 (2 分)
不能对抗重力 (3 分)
无运动 (4 分)
无法检测* (0 分)
右腿运动功能
正常 (0 分)
移动 (1 分)
能对抗一些重力 (2 分)
不能对抗重力 (3 分)
无运动 (4 分)
无法检测* (0 分)
左腿运动功能
正常 (0 分)
移动 (1 分)
能对抗一些重力 (2 分)
不能对抗重力 (3 分)
无运动 (4 分)
无法检测* (0 分)
共济失调
无 (0 分)
一侧肢体 (1 分)
两侧肢体 (2 分)
针尖刺激测感觉
正常 (0 分)
轻到中度感觉下降 (1 分)
严重到完全感觉缺失 (2 分)
语言
无失语 (0 分)
轻到中度失语 (1 分)
严重失语 (2 分)
完全失语 (3 分)
构音障碍
无 (0 分)
轻到中度发音不清 (1 分)
严重 (2 分)
插管或其他经检测身体障碍 (0 分)
消失和忽视
正常 (0 分)
对任何一种感觉形式双侧刺激的忽视或消失 (1 分)
严重半侧注意缺失或对超过一种形式的半侧注意缺失 (2 分)","NIH 脑卒中评分>22 具有重要意义，可预测并发症风险增加。
评分通常用来追踪脑卒中后果、改善或恶化。",症状/功能量表,官方指南/专业协会,NIH Stroke Scale,https://www.stroke.nih.gov/resources/scale.htm,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,外部来源验证,,*若由于截肢或其他限制无法检测上肢或下肢的，记录为无法检测，不计入得分。
CALC-0271,神经、精神与老年医学,,QT间期校正 (EKG),QT间期校正 (EKG),Corrected QT Interval,QT间期,校正QT间期,校正QT间期 = QT间期 / sqr(RR间期),输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0272,神经、精神与老年医学,,QT间期校正 (EKG),QT间期校正 (EKG),Corrected QT Interval,QT间期,校正QT间期,校正QT间期 = QT间期 / sqr(RR间期),输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0273,神经、精神与老年医学,,QT间期校正 (EKG),QT间期校正 (EKG),Corrected QT Interval,心率,RR间期,RR间期 = 60 / 心率,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0274,神经、精神与老年医学,,QT间期校正 (EKG),QT间期校正 (EKG),Corrected QT Interval,心率,RR间期,RR间期 = 60 / 心率,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0275,神经、精神与老年医学,,体质指数（凯特勒指数）,体质指数（凯特勒指数）,Body Mass Index,"身高,体重",身体质量指数,身体质量指数(BMI) = (体重/2.205) / (身高/39.37)^2,"身体质量指数(BMI) < 18.5: 低于正常体重
身体质量指数(BMI) >= 18.5 以及 < 25: 正常体重
身体质量指数(BMI) >= 25 以及 < 30:	超重
身体质量指数(BMI) >= 30 以及 < 35:	一类肥胖
身体质量指数(BMI) >= 35 以及 < 40: 二类肥胖
身体质量指数(BMI) >= 40: 三类肥胖",公式计算/生理指标,官方指南/专业协会,CDC BMI calculators,https://www.cdc.gov/bmi/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,外部来源验证,,
CALC-0276,神经、精神与老年医学,,体质指数（凯特勒指数）,体质指数（凯特勒指数）,Body Mass Index,"身高,体重",身体质量指数,身体质量指数(BMI) = (体重/2.205) / (身高/39.37)^2,"身体质量指数(BMI) < 18.5: 低于正常体重
身体质量指数(BMI) >= 18.5 以及 < 25: 正常体重
身体质量指数(BMI) >= 25 以及 < 30:	超重
身体质量指数(BMI) >= 30 以及 < 35:	一类肥胖
身体质量指数(BMI) >= 35 以及 < 40: 二类肥胖
身体质量指数(BMI) >= 40: 三类肥胖",公式计算/生理指标,官方指南/专业协会,CDC BMI calculators,https://www.cdc.gov/bmi/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,外部来源验证,,
CALC-0277,神经、精神与老年医学,,女孩（2 - 20岁）的体质量指数百分比,女孩（2 - 20岁）的体质量指数百分比,CDC Girls BMI-for-Age Percentile,bmi; l; m; s,CDC女孩BMI年龄别百分位数,使用CDC官方LMS参数将BMI换算为Z评分后转百分位数。,百分位数需结合CDC年龄性别对应官方LMS表解释。,公式计算/生理指标,官方生长曲线LMS参数化实现,CDC Growth Charts,https://www.cdc.gov/growthcharts/,外部来源公式级核对并接入Python实现,A：官方/专业协会或原始评分体系来源,高：对应专科真实临床常用或指南推荐,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,外部来源验证,,Python实现要求调用方传入对应CDC表的L、M、S参数。
CALC-0278,神经、精神与老年医学,,女孩（2 - 20岁）的体质量指数百分比,女孩（2 - 20岁）的体质量指数百分比,CDC Girls BMI-for-Age Percentile,"年龄,身高,体重",身体质量指数,身体质量指数 = 体重 / (身高/100)^2,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,公式计算/生理指标,官方指南/专业协会,CDC Growth Charts,https://www.cdc.gov/growthcharts/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,外部来源验证,,
CALC-0279,神经、精神与老年医学,,女孩（2 - 20岁）的体质量指数百分比,女孩（2 - 20岁）的体质量指数百分比,CDC Girls BMI-for-Age Percentile,bmi; l; m; s,CDC女孩BMI年龄别Z评分,Z = ((BMI/M)^L - 1) / (L*S)，L=0时使用ln(BMI/M)/S。,Z评分需结合CDC年龄性别对应官方LMS表解释。,公式计算/生理指标,官方生长曲线LMS参数化实现,CDC Growth Charts,https://www.cdc.gov/growthcharts/,外部来源公式级核对并接入Python实现,A：官方/专业协会或原始评分体系来源,高：对应专科真实临床常用或指南推荐,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,外部来源验证,,Python实现要求调用方传入对应CDC表的L、M、S参数。
CALC-0280,神经、精神与老年医学,,平均血管压力（体循环或肺循环）,平均血管压力（体循环或肺循环）,Mean Arterial or Vascular Pressure,"收缩压,舒张压",平均血管压力,平均血管压力 = 舒张压 + ((收缩压 - 舒张压) / 3),输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0281,神经、精神与老年医学,,格拉斯哥昏迷指数评分,格拉斯哥昏迷指数评分,Glasgow Coma Scale (GCS),"1. 最佳眼部反应: [自动睁眼, 遵嘱睁眼, 疼痛刺激睁眼, 无睁眼]_x000D_
2. 最佳语言反应: [正常对话, 胡言乱语, 只能说出单词, 只能发音, 无语言反应]_x000D_
3. 最佳运动反应: [遵嘱动作, 定位疼痛, 躲避疼痛, 异常屈曲, 异常伸展, 无运动反应]",总分 (3-15分),"E: 4=自动,3=遵嘱,2=疼痛,1=无_x000D_
V: 5=定向,4=混乱,3=词语,2=发音,1=无_x000D_
M: 6=遵嘱,5=定位,4=躲避,3=屈曲,2=伸展,1=无_x000D_
总分 = E + V + M","E: 4分=自主睁眼_x000D_
V: 5分=定向准确_x000D_
M: 6分=遵嘱动作",症状/功能量表,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,"1. 未提及的维度默认给满分_x000D_
2. 总分范围3-15分_x000D_
3. 最低分项为1分"
